ISOLATE	Address	GENT	predicted_phenotype
0021A	/storage8/erkia/Enterococcus_CA_TESTSET/Genomes/0021A.fasta	0	0
0021E	/storage8/erkia/Enterococcus_CA_TESTSET/Genomes/0021E.fasta	0	0
0029A	/storage8/erkia/Enterococcus_CA_TESTSET/Genomes/0029A.fasta	0	0
0029B	/storage8/erkia/Enterococcus_CA_TESTSET/Genomes/0029B.fasta	0	0
0029C	/storage8/erkia/Enterococcus_CA_TESTSET/Genomes/0029C.fasta	0	1
0029D	/storage8/erkia/Enterococcus_CA_TESTSET/Genomes/0029D.fasta	0	0
0029I	/storage8/erkia/Enterococcus_CA_TESTSET/Genomes/0029I.fasta	0	0
0029J	/storage8/erkia/Enterococcus_CA_TESTSET/Genomes/0029J.fasta	0	1
0029K	/storage8/erkia/Enterococcus_CA_TESTSET/Genomes/0029K.fasta	0	0
0029L	/storage8/erkia/Enterococcus_CA_TESTSET/Genomes/0029L.fasta	0	1
0029M	/storage8/erkia/Enterococcus_CA_TESTSET/Genomes/0029M.fasta	0	0
0034E	/storage8/erkia/Enterococcus_CA_TESTSET/Genomes/0034E.fasta	0	0
0035B	/storage8/erkia/Enterococcus_CA_TESTSET/Genomes/0035B.fasta	0	0
0035D	/storage8/erkia/Enterococcus_CA_TESTSET/Genomes/0035D.fasta	0	0
0035L	/storage8/erkia/Enterococcus_CA_TESTSET/Genomes/0035L.fasta	0	0
0039B	/storage8/erkia/Enterococcus_CA_TESTSET/Genomes/0039B.fasta	0	0
0039C	/storage8/erkia/Enterococcus_CA_TESTSET/Genomes/0039C.fasta	0	0
0039D	/storage8/erkia/Enterococcus_CA_TESTSET/Genomes/0039D.fasta	0	0
0039E	/storage8/erkia/Enterococcus_CA_TESTSET/Genomes/0039E.fasta	0	0
0039K	/storage8/erkia/Enterococcus_CA_TESTSET/Genomes/0039K.fasta	0	1
0040A	/storage8/erkia/Enterococcus_CA_TESTSET/Genomes/0040A.fasta	0	0
0040C	/storage8/erkia/Enterococcus_CA_TESTSET/Genomes/0040C.fasta	0	0
0040D	/storage8/erkia/Enterococcus_CA_TESTSET/Genomes/0040D.fasta	0	0
0040E	/storage8/erkia/Enterococcus_CA_TESTSET/Genomes/0040E.fasta	0	0
0040I	/storage8/erkia/Enterococcus_CA_TESTSET/Genomes/0040I.fasta	0	0
0040K	/storage8/erkia/Enterococcus_CA_TESTSET/Genomes/0040K.fasta	1	1
0050B	/storage8/erkia/Enterococcus_CA_TESTSET/Genomes/0050B.fasta	NA	1
0050E	/storage8/erkia/Enterococcus_CA_TESTSET/Genomes/0050E.fasta	0	0
0050J	/storage8/erkia/Enterococcus_CA_TESTSET/Genomes/0050J.fasta	0	1
0050K	/storage8/erkia/Enterococcus_CA_TESTSET/Genomes/0050K.fasta	0	0
0051E	/storage8/erkia/Enterococcus_CA_TESTSET/Genomes/0051E.fasta	0	0
0060B	/storage8/erkia/Enterococcus_CA_TESTSET/Genomes/0060B.fasta	0	0
0060C	/storage8/erkia/Enterococcus_CA_TESTSET/Genomes/0060C.fasta	0	0
0060D	/storage8/erkia/Enterococcus_CA_TESTSET/Genomes/0060D.fasta	0	0
0060I	/storage8/erkia/Enterococcus_CA_TESTSET/Genomes/0060I.fasta	0	0
0060J	/storage8/erkia/Enterococcus_CA_TESTSET/Genomes/0060J.fasta	0	1
0060K	/storage8/erkia/Enterococcus_CA_TESTSET/Genomes/0060K.fasta	NA	0
0060L	/storage8/erkia/Enterococcus_CA_TESTSET/Genomes/0060L.fasta	0	0
0061A	/storage8/erkia/Enterococcus_CA_TESTSET/Genomes/0061A.fasta	0	0
0062A	/storage8/erkia/Enterococcus_CA_TESTSET/Genomes/0062A.fasta	0	0
0062C	/storage8/erkia/Enterococcus_CA_TESTSET/Genomes/0062C.fasta	0	0
0062J	/storage8/erkia/Enterococcus_CA_TESTSET/Genomes/0062J.fasta	0	0
0062K	/storage8/erkia/Enterococcus_CA_TESTSET/Genomes/0062K.fasta	0	0
0062L	/storage8/erkia/Enterococcus_CA_TESTSET/Genomes/0062L.fasta	0	0
0062M	/storage8/erkia/Enterococcus_CA_TESTSET/Genomes/0062M.fasta	0	0
0063D	/storage8/erkia/Enterococcus_CA_TESTSET/Genomes/0063D.fasta	0	0
0063I	/storage8/erkia/Enterococcus_CA_TESTSET/Genomes/0063I.fasta	0	0
0063J	/storage8/erkia/Enterococcus_CA_TESTSET/Genomes/0063J.fasta	0	0
0063K	/storage8/erkia/Enterococcus_CA_TESTSET/Genomes/0063K.fasta	0	0
0063L	/storage8/erkia/Enterococcus_CA_TESTSET/Genomes/0063L.fasta	0	0
0063M	/storage8/erkia/Enterococcus_CA_TESTSET/Genomes/0063M.fasta	NA	0
0064E	/storage8/erkia/Enterococcus_CA_TESTSET/Genomes/0064E.fasta	0	0
